title,cast,crew
Return to Oz,"[{'cast_id': 1, 'character': 'Dorothy Gale', 'credit_id': '52fe45469251416c75050ed1', 'gender': 1, 'id': 826, 'name': 'Fairuza Balk', 'order': 0}, {'cast_id': 4, 'character': 'Dr. Worley / Nome King', 'credit_id': '52fe45469251416c75050edb', 'gender': 2, 'id': 51812, 'name': 'Nicol Williamson', 'order': 1}, {'cast_id': 6, 'character': 'Nurse Wilson / Mombi', 'credit_id': '52fe45469251416c75050ee3', 'gender': 1, 'id': 12657, 'name': 'Jean Marsh', 'order': 2}]","[{'credit_id': '588a748cc3a368409301c92a', 'department': 'Crew', 'gender': 2, 'id': 1, 'job': 'Thanks', 'name': 'George Lucas'}, {'credit_id': '52fe45469251416c75050f39', 'department': 'Production', 'gender': 2, 'id': 12401, 'job': 'Executive Producer', 'name': 'Gary Kurtz'}, {'credit_id': '588a6e56925141539700b3d0', 'department': 'Writing', 'gender': 2, 'id': 154, 'job': 'Screenplay', 'name': 'Walter Murch'}]"
The Newton Boys,"[{'cast_id': 6, 'character': 'Willis Newton', 'credit_id': '52fe461bc3a36847f80ecfad', 'gender': 2, 'id': 10297, 'name': 'Matthew McConaughey', 'order': 0}, {'cast_id': 7, 'character': 'Joe Newton', 'credit_id': '52fe461bc3a36847f80ecfb1', 'gender': 2, 'id': 22108, 'name': 'Skeet Ulrich', 'order': 1}, {'cast_id': 8, 'character': 'Jess Newton', 'credit_id': '52fe461bc3a36847f80ecfb5', 'gender': 2, 'id': 569, 'name': 'Ethan Hawke', 'order': 2}]","[{'credit_id': '52fe461bc3a36847f80ecfa9', 'department': 'Directing', 'gender': 2, 'id': 564, 'job': 'Director', 'name': 'Richard Linklater'}, {'credit_id': '547a405592514146b700004c', 'department': 'Writing', 'gender': 2, 'id': 564, 'job': 'Screenplay', 'name': 'Richard Linklater'}, {'credit_id': '547a406ec3a368737f0006f9', 'department': 'Writing', 'gender': 0, 'id': 1198263, 'job': 'Screenplay', 'name': 'Clark Walker'}]"
Case 39,"[{'cast_id': 1, 'character': 'Emily Jenkins', 'credit_id': '52fe458ec3a368484e06227f', 'gender': 1, 'id': 9137, 'name': 'Renée Zellweger', 'order': 0}, {'cast_id': 2, 'character': 'Lillith Sullivan', 'credit_id': '52fe458ec3a368484e062283', 'gender': 1, 'id': 8338, 'name': 'Jodelle Ferland', 'order': 1}, {'cast_id': 3, 'character': 'Detective Mike Barron', 'credit_id': '52fe458ec3a368484e062287', 'gender': 2, 'id': 6972, 'name': 'Ian McShane', 'order': 2}]","[{'credit_id': '52fe458ec3a368484e0622a9', 'department': 'Production', 'gender': 2, 'id': 322, 'job': 'Producer', 'name': 'Steve Golin'}, {'credit_id': '54a949db9251417e80001ba1', 'department': 'Sound', 'gender': 2, 'id': 373, 'job': 'Sound Effects Editor', 'name': 'Doug Jackson'}, {'credit_id': '52fe458ec3a368484e0622d3', 'department': 'Editing', 'gender': 2, 'id': 898, 'job': 'Editor', 'name': 'Mark Goldblatt'}]"
Suspect Zero,"[{'cast_id': 1, 'character': 'Fran Kulok', 'credit_id': '52fe4492c3a36847f809dab1', 'gender': 1, 'id': 530, 'name': 'Carrie-Anne Moss', 'order': 0}, {'cast_id': 2, 'character': 'Thomas Mackelway', 'credit_id': '52fe4492c3a36847f809dab5', 'gender': 2, 'id': 6383, 'name': 'Aaron Eckhart', 'order': 1}, {'cast_id': 3, 'character': ""Benjamin O'Ryan"", 'credit_id': '52fe4492c3a36847f809dab9', 'gender': 2, 'id': 2282, 'name': 'Ben Kingsley', 'order': 2}]","[{'credit_id': '52fe4492c3a36847f809daeb', 'department': 'Camera', 'gender': 2, 'id': 1044, 'job': 'Director of Photography', 'name': 'Michael Chapman'}, {'credit_id': '55be0e54c3a3683921002b08', 'department': 'Production', 'gender': 1, 'id': 3965, 'job': 'Casting', 'name': 'Deborah Aquila'}, {'credit_id': '55be0e81c3a3686959004e68', 'department': 'Art', 'gender': 1, 'id': 5167, 'job': 'Production Design', 'name': 'Ida Random'}]"
Martian Child,"[{'cast_id': 1, 'character': 'David', 'credit_id': '52fe43f5c3a36847f807a7b1', 'gender': 2, 'id': 3036, 'name': 'John Cusack', 'order': 0}, {'cast_id': 2, 'character': 'Dennis', 'credit_id': '52fe43f5c3a36847f807a7b5', 'gender': 2, 'id': 41308, 'name': 'Bobby Coleman', 'order': 1}, {'cast_id': 3, 'character': 'Harlee', 'credit_id': '52fe43f5c3a36847f807a7b9', 'gender': 1, 'id': 2956, 'name': 'Amanda Peet', 'order': 2}]","[{'credit_id': '52fe43f5c3a36847f807a7d7', 'department': 'Directing', 'gender': 2, 'id': 736, 'job': 'Director', 'name': 'Menno Meyjes'}, {'credit_id': '52fe43f5c3a36847f807a7f5', 'department': 'Art', 'gender': 2, 'id': 1112, 'job': 'Production Design', 'name': 'Hugo Luczyc-Wyhowski'}, {'credit_id': '52fe43f5c3a36847f807a7ef', 'department': 'Camera', 'gender': 2, 'id': 5667, 'job': 'Director of Photography', 'name': 'Robert D. Yeoman'}]"
Spy Kids: All the Time in the World,"[{'cast_id': 3, 'character': 'Marissa Cortez Wilson', 'credit_id': '52fe48f7c3a36847f818289d', 'gender': 1, 'id': 56731, 'name': 'Jessica Alba', 'order': 0}, {'cast_id': 14, 'character': 'Cecil Wilson', 'credit_id': '54056b5e0e0a264b090011ab', 'gender': 2, 'id': 583040, 'name': 'Mason Cook', 'order': 1}, {'cast_id': 13, 'character': 'Rebecca Wilson', 'credit_id': '54056b4c0e0a2658d800be5b', 'gender': 1, 'id': 1257205, 'name': 'Rowan Blanchard', 'order': 2}]","[{'credit_id': '52fe48f7c3a36847f81828bb', 'department': 'Directing', 'gender': 0, 'id': 2294, 'job': 'Director', 'name': 'Robert Rodriguez'}, {'credit_id': '59679af3c3a36877670041e6', 'department': 'Camera', 'gender': 0, 'id': 2294, 'job': 'Director of Photography', 'name': 'Robert Rodriguez'}, {'credit_id': '59679abfc3a36879e40047c8', 'department': 'Production', 'gender': 0, 'id': 2294, 'job': 'Producer', 'name': 'Robert Rodriguez'}]"
Money Monster,"[{'cast_id': 6, 'character': 'Lee Gates', 'credit_id': '55693d1992514173f50006b7', 'gender': 2, 'id': 1461, 'name': 'George Clooney', 'order': 0}, {'cast_id': 9, 'character': 'Patty Fenn', 'credit_id': '55693db4c3a3687698000805', 'gender': 1, 'id': 1204, 'name': 'Julia Roberts', 'order': 1}, {'cast_id': 8, 'character': 'Kyle Budwell', 'credit_id': '55693d9292514173f50006c3', 'gender': 2, 'id': 85065, 'name': ""Jack O'Connell"", 'order': 2}]","[{'credit_id': '55693b229251416b04000b3e', 'department': 'Directing', 'gender': 1, 'id': 1038, 'job': 'Director', 'name': 'Jodie Foster'}, {'credit_id': '55693b3a92514173b3000726', 'department': 'Camera', 'gender': 2, 'id': 4867, 'job': 'Director of Photography', 'name': 'Matthew Libatique'}, {'credit_id': '55693b48c3a3685489000a42', 'department': 'Editing', 'gender': 2, 'id': 13005, 'job': 'Editor', 'name': 'Matt Chesse'}]"
The 51st State,"[{'cast_id': 1, 'character': 'Elmo McElroy', 'credit_id': '52fe4305c3a36847f803452d', 'gender': 2, 'id': 2231, 'name': 'Samuel L. Jackson', 'order': 0}, {'cast_id': 2, 'character': 'Felix DeSouza', 'credit_id': '52fe4305c3a36847f8034531', 'gender': 2, 'id': 18023, 'name': 'Robert Carlyle', 'order': 1}, {'cast_id': 19, 'character': 'Dakota Parker', 'credit_id': '52fe4305c3a36847f803458d', 'gender': 1, 'id': 1246, 'name': 'Emily Mortimer', 'order': 2}]","[{'credit_id': '52fe4305c3a36847f803456d', 'department': 'Art', 'gender': 2, 'id': 15732, 'job': 'Production Design', 'name': 'Alan MacDonald'}, {'credit_id': '52fe4305c3a36847f8034567', 'department': 'Production', 'gender': 1, 'id': 16363, 'job': 'Casting', 'name': 'Nina Gold'}, {'credit_id': '52fe4305c3a36847f8034537', 'department': 'Directing', 'gender': 0, 'id': 17268, 'job': 'Director', 'name': 'Ronny Yu'}]"
Flawless,"[{'cast_id': 3, 'character': 'Walt Koontz', 'credit_id': '52fe448a9251416c910144c3', 'gender': 2, 'id': 380, 'name': 'Robert De Niro', 'order': 0}, {'cast_id': 4, 'character': 'Rusty', 'credit_id': '52fe448a9251416c910144c7', 'gender': 2, 'id': 1233, 'name': 'Philip Seymour Hoffman', 'order': 1}, {'cast_id': 5, 'character': 'Leonard Wilcox', 'credit_id': '52fe448a9251416c910144cb', 'gender': 2, 'id': 62014, 'name': 'Barry Miller', 'order': 2}]","[{'credit_id': '553e3dbdc3a3687db100310e', 'department': 'Production', 'gender': 1, 'id': 1262, 'job': 'Casting', 'name': 'Mali Finn'}, {'credit_id': '553e4256c3a3687db100319b', 'department': 'Production', 'gender': 1, 'id': 3305, 'job': 'Producer', 'name': 'Jane Rosenthal'}, {'credit_id': '553e4314c3a3687db10031a5', 'department': 'Production', 'gender': 1, 'id': 5356, 'job': 'Co-Producer', 'name': 'Caroline Baron'}]"
Mindhunters,"[{'cast_id': 8, 'character': 'Gabe Jensen', 'credit_id': '52fe46de9251416c750864bb', 'gender': 2, 'id': 36424, 'name': 'LL Cool J', 'order': 0}, {'cast_id': 5, 'character': 'Lucas Harper', 'credit_id': '52fe46de9251416c750864af', 'gender': 2, 'id': 9012, 'name': 'Jonny Lee Miller', 'order': 1}, {'cast_id': 6, 'character': 'Sara Moore', 'credit_id': '52fe46de9251416c750864b3', 'gender': 1, 'id': 2208, 'name': 'Kathryn Morris', 'order': 2}]","[{'credit_id': '52fe46df9251416c75086549', 'department': 'Production', 'gender': 1, 'id': 2325, 'job': 'Casting', 'name': 'Monika Mikkelsen'}, {'credit_id': '568ee86c9251416b4a003862', 'department': 'Production', 'gender': 2, 'id': 1307, 'job': 'Co-Executive Producer', 'name': 'Bob Weinstein'}, {'credit_id': '568ee87dc3a36858ec0039a0', 'department': 'Production', 'gender': 2, 'id': 59839, 'job': 'Co-Executive Producer', 'name': 'Harvey Weinstein'}]"
What Just Happened,"[{'cast_id': 2, 'character': 'Himself', 'credit_id': '52fe44cac3a36847f80aa233', 'gender': 2, 'id': 62, 'name': 'Bruce Willis', 'order': 0}, {'cast_id': 3, 'character': 'Ben', 'credit_id': '52fe44cac3a36847f80aa237', 'gender': 2, 'id': 380, 'name': 'Robert De Niro', 'order': 1}, {'cast_id': 4, 'character': 'Himself', 'credit_id': '52fe44cac3a36847f80aa23b', 'gender': 2, 'id': 2228, 'name': 'Sean Penn', 'order': 2}]","[{'credit_id': '56fa7d06c3a3681937002bd9', 'department': 'Production', 'gender': 2, 'id': 380, 'job': 'Producer', 'name': 'Robert De Niro'}, {'credit_id': '52fe44cac3a36847f80aa255', 'department': 'Writing', 'gender': 2, 'id': 1254, 'job': 'Author', 'name': 'Art Linson'}, {'credit_id': '56fa15d39251414ddf0015df', 'department': 'Writing', 'gender': 2, 'id': 1254, 'job': 'Writer', 'name': 'Art Linson'}]"
The Statement,"[{'cast_id': 1, 'character': 'Pierre Brossard', 'credit_id': '52fe45cdc3a36847f80db4f1', 'gender': 2, 'id': 3895, 'name': 'Michael Caine', 'order': 0}, {'cast_id': 2, 'character': 'Annemarie Livi', 'credit_id': '52fe45cdc3a36847f80db4f5', 'gender': 1, 'id': 3063, 'name': 'Tilda Swinton', 'order': 1}, {'cast_id': 3, 'character': 'Colonel Roux', 'credit_id': '52fe45cdc3a36847f80db4f9', 'gender': 2, 'id': 18325, 'name': 'Jeremy Northam', 'order': 2}]","[{'credit_id': '55478268c3a36856e50088ff', 'department': 'Editing', 'gender': 0, 'id': 1721, 'job': 'Editor', 'name': 'Stephen E. Rivkin'}, {'credit_id': '554782cdc3a36816bf0048c3', 'department': 'Art', 'gender': 0, 'id': 1002, 'job': 'Set Decoration', 'name': 'Françoise Benoît-Fresco'}, {'credit_id': '5547827d9251414c37009226', 'department': 'Production', 'gender': 2, 'id': 2186, 'job': 'Casting', 'name': 'Nathalie Cheron'}]"
The Magic Flute,"[{'cast_id': 1, 'character': 'Tamino', 'credit_id': '52fe46219251416c9104a32b', 'gender': 2, 'id': 116618, 'name': 'Joseph Kaiser', 'order': 0}, {'cast_id': 2, 'character': 'Pamina', 'credit_id': '52fe46219251416c9104a32f', 'gender': 0, 'id': 116619, 'name': 'Amy Carson', 'order': 1}, {'cast_id': 3, 'character': 'Sarastro', 'credit_id': '52fe46219251416c9104a333', 'gender': 2, 'id': 116620, 'name': 'René Pape', 'order': 2}]","[{'credit_id': '52fe46219251416c9104a355', 'department': 'Writing', 'gender': 2, 'id': 11181, 'job': 'Screenplay', 'name': 'Kenneth Branagh'}, {'credit_id': '52fe46219251416c9104a34f', 'department': 'Directing', 'gender': 2, 'id': 11181, 'job': 'Director', 'name': 'Kenneth Branagh'}, {'credit_id': '52fe46219251416c9104a36b', 'department': 'Writing', 'gender': 2, 'id': 11181, 'job': 'Writer', 'name': 'Kenneth Branagh'}]"
Paul Blart: Mall Cop,"[{'cast_id': 1, 'character': 'Paul Blart', 'credit_id': '52fe46019251416c75069d3f', 'gender': 2, 'id': 32895, 'name': 'Kevin James', 'order': 0}, {'cast_id': 5, 'character': 'Veck Sims', 'credit_id': '52fe46019251416c75069d55', 'gender': 2, 'id': 39213, 'name': ""Keir O'Donnell"", 'order': 1}, {'cast_id': 6, 'character': 'Amy', 'credit_id': '52fe46019251416c75069d59', 'gender': 1, 'id': 34195, 'name': 'Jayma Mays', 'order': 2}]","[{'credit_id': '58dd4d1c92514111f7000e9f', 'department': 'Production', 'gender': 1, 'id': 546, 'job': 'Casting', 'name': 'Jeanne McCarthy'}, {'credit_id': '58dd4bb19251411220000d6f', 'department': 'Production', 'gender': 2, 'id': 11772, 'job': 'Producer', 'name': 'Barry Bernardi'}, {'credit_id': '58dd4bdec3a3684eb7000d56', 'department': 'Production', 'gender': 2, 'id': 11814, 'job': 'Producer', 'name': 'Todd Garner'}]"
Freaky Friday,"[{'cast_id': 7, 'character': 'Tess Coleman', 'credit_id': '52fe435a9251416c7500d2d1', 'gender': 1, 'id': 8944, 'name': 'Jamie Lee Curtis', 'order': 0}, {'cast_id': 8, 'character': 'Anna Coleman', 'credit_id': '52fe435a9251416c7500d2d5', 'gender': 1, 'id': 49265, 'name': 'Lindsay Lohan', 'order': 1}, {'cast_id': 9, 'character': 'Ryan', 'credit_id': '52fe435b9251416c7500d2d9', 'gender': 2, 'id': 19728, 'name': 'Mark Harmon', 'order': 2}]","[{'credit_id': '56832be9c3a36828f500ba6d', 'department': 'Production', 'gender': 1, 'id': 599, 'job': 'Casting', 'name': 'Marci Liroff'}, {'credit_id': '56832bc592514132db013adf', 'department': 'Art', 'gender': 1, 'id': 5633, 'job': 'Set Decoration', 'name': 'Barbara Haberecht'}, {'credit_id': '52fe435a9251416c7500d2c7', 'department': 'Camera', 'gender': 2, 'id': 11409, 'job': 'Director of Photography', 'name': 'Oliver Wood'}]"
The 40 Year Old Virgin,"[{'cast_id': 1, 'character': 'Andy Stitzer', 'credit_id': '52fe446ac3a36847f8094c2b', 'gender': 2, 'id': 4495, 'name': 'Steve Carell', 'order': 0}, {'cast_id': 2, 'character': 'Trish', 'credit_id': '52fe446ac3a36847f8094c2f', 'gender': 1, 'id': 2229, 'name': 'Catherine Keener', 'order': 1}, {'cast_id': 3, 'character': 'David', 'credit_id': '52fe446ac3a36847f8094c33', 'gender': 2, 'id': 22226, 'name': 'Paul Rudd', 'order': 2}]","[{'credit_id': '52fe446ac3a36847f8094c49', 'department': 'Writing', 'gender': 2, 'id': 4495, 'job': 'Screenplay', 'name': 'Steve Carell'}, {'credit_id': '560c35da92514171a30067d5', 'department': 'Crew', 'gender': 0, 'id': 29216, 'job': 'Associate Choreographer', 'name': 'Zachary Woodlee'}, {'credit_id': '52fe446ac3a36847f8094c43', 'department': 'Writing', 'gender': 2, 'id': 41039, 'job': 'Screenplay', 'name': 'Judd Apatow'}]"
Shakespeare in Love,"[{'cast_id': 18, 'character': 'Will Shakespeare', 'credit_id': '52fe4323c3a36847f803d455', 'gender': 2, 'id': 12763, 'name': 'Joseph Fiennes', 'order': 0}, {'cast_id': 25, 'character': 'Viola De Lesseps', 'credit_id': '52fe4323c3a36847f803d46d', 'gender': 1, 'id': 12052, 'name': 'Gwyneth Paltrow', 'order': 1}, {'cast_id': 19, 'character': 'Philip Henslowe', 'credit_id': '52fe4323c3a36847f803d459', 'gender': 2, 'id': 118, 'name': 'Geoffrey Rush', 'order': 2}]","[{'credit_id': '52fe4323c3a36847f803d3fd', 'department': 'Writing', 'gender': 2, 'id': 372, 'job': 'Screenplay', 'name': 'Tom Stoppard'}, {'credit_id': '52fe4323c3a36847f803d42d', 'department': 'Sound', 'gender': 2, 'id': 469, 'job': 'Original Music Composer', 'name': 'Stephen Warbeck'}, {'credit_id': '52fe4323c3a36847f803d427', 'department': 'Production', 'gender': 2, 'id': 1307, 'job': 'Executive Producer', 'name': 'Bob Weinstein'}]"
A Walk Among the Tombstones,"[{'cast_id': 7, 'character': 'Matthew Scudder', 'credit_id': '52fe4cedc3a36847f82450a1', 'gender': 2, 'id': 3896, 'name': 'Liam Neeson', 'order': 0}, {'cast_id': 8, 'character': 'Kenny Kristo', 'credit_id': '52fe4cedc3a36847f82450a5', 'gender': 2, 'id': 221018, 'name': 'Dan Stevens', 'order': 1}, {'cast_id': 16, 'character': 'Ray', 'credit_id': '5303f333c3a3683aa100180e', 'gender': 2, 'id': 35029, 'name': 'David Harbour', 'order': 2}]","[{'credit_id': '547dc5ce9251412d6d0056cc', 'department': 'Production', 'gender': 1, 'id': 2952, 'job': 'Casting', 'name': 'Avy Kaufman'}, {'credit_id': '52fe4cedc3a36847f824508b', 'department': 'Production', 'gender': 2, 'id': 518, 'job': 'Producer', 'name': 'Danny DeVito'}, {'credit_id': '52fe4cedc3a36847f824507f', 'department': 'Directing', 'gender': 2, 'id': 2199, 'job': 'Director', 'name': 'Scott Frank'}]"
Kindergarten Cop,"[{'cast_id': 1, 'character': 'Detective John Kimble', 'credit_id': '52fe4292c3a36847f8029339', 'gender': 2, 'id': 1100, 'name': 'Arnold Schwarzenegger', 'order': 0}, {'cast_id': 41, 'character': 'Joyce Palmieri / Rachel Crisp', 'credit_id': '52fe4292c3a36847f80293f7', 'gender': 1, 'id': 14698, 'name': 'Penelope Ann Miller', 'order': 1}, {'cast_id': 4, 'character': ""Detective Phoebe O'Hara"", 'credit_id': '52fe4292c3a36847f802933d', 'gender': 1, 'id': 14699, 'name': 'Pamela Reed', 'order': 2}]","[{'credit_id': '52fe4292c3a36847f8029389', 'department': 'Production', 'gender': 2, 'id': 339, 'job': 'Producer', 'name': 'Brian Grazer'}, {'credit_id': '58da7592925141146500b503', 'department': 'Art', 'gender': 2, 'id': 903, 'job': 'Set Designer', 'name': 'Lawrence A. Hubbs'}, {'credit_id': '52fe4292c3a36847f802939b', 'department': 'Camera', 'gender': 2, 'id': 1044, 'job': 'Director of Photography', 'name': 'Michael Chapman'}]"
Pineapple Express,"[{'cast_id': 6, 'character': 'Dale Denton', 'credit_id': '52fe433d9251416c75008e6f', 'gender': 2, 'id': 19274, 'name': 'Seth Rogen', 'order': 0}, {'cast_id': 7, 'character': 'Saul Silver', 'credit_id': '52fe433d9251416c75008e73', 'gender': 2, 'id': 17051, 'name': 'James Franco', 'order': 1}, {'cast_id': 5, 'character': 'Red', 'credit_id': '52fe433d9251416c75008e6b', 'gender': 2, 'id': 62862, 'name': 'Danny McBride', 'order': 2}]","[{'credit_id': '564a6ba19251414dc4000c0b', 'department': 'Sound', 'gender': 2, 'id': 5912, 'job': 'Original Music Composer', 'name': 'Graeme Revell'}, {'credit_id': '52fe433e9251416c75008ec3', 'department': 'Production', 'gender': 2, 'id': 3192, 'job': 'Casting', 'name': 'Billy Hopkins'}, {'credit_id': '52fe433e9251416c75008eb7', 'department': 'Production', 'gender': 2, 'id': 5328, 'job': 'Casting', 'name': 'Kerry Barden'}]"
Ever After: A Cinderella Story,"[{'cast_id': 12, 'character': 'Danielle De Barbarac', 'credit_id': '52fe44f9c3a36847f80b53dd', 'gender': 1, 'id': 69597, 'name': 'Drew Barrymore', 'order': 0}, {'cast_id': 13, 'character': 'Prince Henry', 'credit_id': '52fe44f9c3a36847f80b53e1', 'gender': 2, 'id': 15336, 'name': 'Dougray Scott', 'order': 1}, {'cast_id': 14, 'character': 'Baroness Rodmilla De Ghent', 'credit_id': '52fe44f9c3a36847f80b53e5', 'gender': 1, 'id': 5657, 'name': 'Anjelica Huston', 'order': 2}]","[{'credit_id': '559fbc489251412daf004a6a', 'department': 'Production', 'gender': 1, 'id': 1113, 'job': 'Casting', 'name': 'Lucinda Syson'}, {'credit_id': '52fe44f9c3a36847f80b53c7', 'department': 'Sound', 'gender': 2, 'id': 1528, 'job': 'Music', 'name': 'George Fenton'}, {'credit_id': '559fbc33c3a368080e004a57', 'department': 'Production', 'gender': 1, 'id': 3311, 'job': 'Casting', 'name': 'Priscilla John'}]"
Open Range,"[{'cast_id': 12, 'character': 'Charley Waite', 'credit_id': '52fe4330c3a36847f80411eb', 'gender': 2, 'id': 1269, 'name': 'Kevin Costner', 'order': 0}, {'cast_id': 13, 'character': 'Boss Spearman', 'credit_id': '52fe4330c3a36847f80411ef', 'gender': 2, 'id': 3087, 'name': 'Robert Duvall', 'order': 1}, {'cast_id': 14, 'character': 'Denton Baxter', 'credit_id': '52fe4330c3a36847f80411f3', 'gender': 2, 'id': 5658, 'name': 'Michael Gambon', 'order': 2}]","[{'credit_id': '52fe4330c3a36847f80411c9', 'department': 'Production', 'gender': 2, 'id': 3718, 'job': 'Producer', 'name': 'David Valdes'}, {'credit_id': '52fe4330c3a36847f80411ab', 'department': 'Directing', 'gender': 2, 'id': 1269, 'job': 'Director', 'name': 'Kevin Costner'}, {'credit_id': '52fe4330c3a36847f80411bd', 'department': 'Production', 'gender': 2, 'id': 1269, 'job': 'Producer', 'name': 'Kevin Costner'}]"
Flatliners,"[{'cast_id': 1, 'character': 'Nelson', 'credit_id': '52fe42fcc3a36847f8031f71', 'gender': 2, 'id': 2628, 'name': 'Kiefer Sutherland', 'order': 0}, {'cast_id': 2, 'character': 'Rachel Mannus', 'credit_id': '52fe42fcc3a36847f8031f75', 'gender': 1, 'id': 1204, 'name': 'Julia Roberts', 'order': 1}, {'cast_id': 3, 'character': 'David Labraccio', 'credit_id': '52fe42fcc3a36847f8031f79', 'gender': 2, 'id': 4724, 'name': 'Kevin Bacon', 'order': 2}]","[{'credit_id': '564888e09251413e7f006ed4', 'department': 'Sound', 'gender': 2, 'id': 1213, 'job': 'Original Music Composer', 'name': 'James Newton Howard'}, {'credit_id': '564885939251413ae1006fb2', 'department': 'Production', 'gender': 1, 'id': 1262, 'job': 'Casting', 'name': 'Mali Finn'}, {'credit_id': '564885a6c3a36826010076df', 'department': 'Camera', 'gender': 2, 'id': 2209, 'job': 'Director of Photography', 'name': 'Jan de Bont'}]"
A Bridge Too Far,"[{'cast_id': 4, 'character': 'Lt. Gen. Fredrick. Browning', 'credit_id': '52fe442bc3a36847f808665d', 'gender': 2, 'id': 21605, 'name': 'Dirk Bogarde', 'order': 0}, {'cast_id': 5, 'character': 'Sgt. Eddie Dohun', 'credit_id': '52fe442bc3a36847f8086661', 'gender': 2, 'id': 3085, 'name': 'James Caan', 'order': 1}, {'cast_id': 6, 'character': 'Lt. Col. John O.E. Vandeleur', 'credit_id': '52fe442bc3a36847f8086665', 'gender': 2, 'id': 3895, 'name': 'Michael Caine', 'order': 2}]","[{'credit_id': '52fe442bc3a36847f8086685', 'department': 'Camera', 'gender': 2, 'id': 243, 'job': 'Director of Photography', 'name': 'Geoffrey Unsworth'}, {'credit_id': '52fe442bc3a36847f8086659', 'department': 'Writing', 'gender': 2, 'id': 348, 'job': 'Screenplay', 'name': 'William Goldman'}, {'credit_id': '52fe442bc3a36847f80866ab', 'department': 'Production', 'gender': 2, 'id': 3777, 'job': 'Producer', 'name': 'Joseph E. Levine'}]"
Red Eye,"[{'cast_id': 1, 'character': 'Lisa Reisert', 'credit_id': '52fe44449251416c7502eb77', 'gender': 1, 'id': 53714, 'name': 'Rachel McAdams', 'order': 0}, {'cast_id': 2, 'character': 'Jackson Rippner', 'credit_id': '52fe44449251416c7502eb7b', 'gender': 2, 'id': 2037, 'name': 'Cillian Murphy', 'order': 1}, {'cast_id': 3, 'character': 'Joe Reisert', 'credit_id': '52fe44449251416c7502eb7f', 'gender': 2, 'id': 1248, 'name': 'Brian Cox', 'order': 2}]","[{'credit_id': '52fe44449251416c7502eb99', 'department': 'Production', 'gender': 2, 'id': 298, 'job': 'Producer', 'name': 'Chris Bender'}, {'credit_id': '53665224c3a368124100306f', 'department': 'Production', 'gender': 1, 'id': 434, 'job': 'Casting', 'name': 'Lisa Beach'}, {'credit_id': '53665239c3a3681220002ec9', 'department': 'Production', 'gender': 1, 'id': 436, 'job': 'Casting', 'name': 'Sarah Katzman'}]"
Final Destination 2,"[{'cast_id': 1, 'character': 'Clear Rivers', 'credit_id': '52fe44edc3a36847f80b22c9', 'gender': 1, 'id': 17303, 'name': 'Ali Larter', 'order': 0}, {'cast_id': 2, 'character': 'Kimberly Corman', 'credit_id': '52fe44edc3a36847f80b22cd', 'gender': 1, 'id': 17236, 'name': 'A.J. Cook', 'order': 1}, {'cast_id': 3, 'character': 'Officer Thomas Burke', 'credit_id': '52fe44edc3a36847f80b22d1', 'gender': 2, 'id': 57428, 'name': 'Michael Landes', 'order': 2}]","[{'credit_id': '532c0d2b9251416e9f000c43', 'department': 'Production', 'gender': 0, 'id': 561, 'job': 'Casting', 'name': 'John Papsidera'}, {'credit_id': '5508334f92514130b40011fa', 'department': 'Sound', 'gender': 2, 'id': 3193, 'job': 'Sound Designer', 'name': 'Scott Martin Gershin'}, {'credit_id': '52fe44edc3a36847f80b22db', 'department': 'Directing', 'gender': 2, 'id': 4755, 'job': 'Director', 'name': 'David R. Ellis'}]"
"O Brother, Where Art Thou?","[{'cast_id': 3, 'character': 'Ulysses Everett McGill', 'credit_id': '52fe421cc3a36847f8004ccb', 'gender': 2, 'id': 1461, 'name': 'George Clooney', 'order': 0}, {'cast_id': 4, 'character': 'Pete Hogwallop', 'credit_id': '52fe421cc3a36847f8004ccf', 'gender': 2, 'id': 1241, 'name': 'John Turturro', 'order': 1}, {'cast_id': 5, 'character': ""Delmar O'Donnell"", 'credit_id': '52fe421cc3a36847f8004cd3', 'gender': 2, 'id': 1462, 'name': 'Tim Blake Nelson', 'order': 2}]","[{'credit_id': '52fe421cc3a36847f8004d43', 'department': 'Camera', 'gender': 2, 'id': 151, 'job': 'Director of Photography', 'name': 'Roger Deakins'}, {'credit_id': '5678807bc3a36847440009d1', 'department': 'Art', 'gender': 1, 'id': 555, 'job': 'Set Decoration', 'name': 'Nancy Haigh'}, {'credit_id': '52fe421cc3a36847f8004d67', 'department': 'Writing', 'gender': 0, 'id': 1223, 'job': 'Screenplay', 'name': 'Joel Coen'}]"
